anime_id,Name,English name,Other name,Score,Genres,Synopsis,Type,Episodes,Aired,Premiered,Status,Producers,Licensors,Studios,Source,Duration,Rating,Rank,Popularity,Favorites,Scored By,Members,Image URL
2824,Barbapapa Sekai wo Mawaru,Barbapapa Around the World,バーバパパ　世界をまわる,5.92,"Adventure, Comedy","""Barbapapa around the world"", is a fun-filled collection of 5-minute animated cartoons for preschool children. Barbapapa and his family return to TV for the first time in 25 years with 50 completely new and original episodes.

Each episode travels to far-off lands where the Barbapapa family learns about plants, birds, reptiles or mammals in their natural Habitat. The Barbapapa family not only has fun playing with and imitating rare animals but it also helps the creatures when they fall into life-threatening situations. Join the Barbapapa Family as it travels to New Guinea, The Amazon, Patagonia and all over the world discovering the humor, danger and excitement of life.

(Source: barbapapa.fr)",TV,50.0,"Jul 5, 1999 to Oct 8, 1999",summer 1999,Finished Airing,Kodansha,UNKNOWN,Pierrot,Picture book,5 min per ep,G - All Ages,9212.0,11900,3,467.0,1274,https://cdn.myanimelist.net/images/anime/1885/114869.jpg
2825,Arabian Nights: Sindbad no Bouken (TV),Arabian Nights: Sinbad's Adventures,アラビアンナイト シンドバットの冒険,7.2,"Adventure, Fantasy, Romance","Based on the famous tale from The Thousand and One Arabian Nights, this story takes place more than 1200 years ago. The story's hero is the impish Sindbad, a mischievous boy full of curiosity, who one night sneaks into the royal palace to watch the acrobatic performances and learns that a wide world awaits beyond Baghdad.
Hearing of the travels of his uncle Captain Ali, Sindbad decides to become a sailor and travel around the world. Leaving behind a note to his father, young Sindbad boards Captain Ali`s ship and-accompanied by a myna called Sheila-sets out for the greatest adventure of his life.

(Source: AniDB)",TV,52.0,"Oct 1, 1975 to Sep 29, 1976",fall 1975,Finished Airing,Studio Jack,UNKNOWN,Nippon Animation,Book,24 min per ep,R+ - Mild Nudity,3008.0,6975,28,3542.0,7012,https://cdn.myanimelist.net/images/anime/2/31935.jpg
2826,Oz no Mahoutsukai (TV),The Wonderful Wizard of Oz,オズの魔法使い,6.65,"Adventure, Fantasy","Based on The Wonderful Wizard of Oz (1900), The Marvelous Land of Oz, Ozma of Oz, and The Emerald City of Oz (1900-1920) by L. Frank Baum (1856-1919).

(Source: AniDB)",TV,52.0,"Oct 6, 1986 to Sep 28, 1987",fall 1986,Finished Airing,"TV Tokyo, Meruhensha",Discotek Media,Panmedia,Book,25 min per ep,G - All Ages,5607.0,9934,11,945.0,2533,https://cdn.myanimelist.net/images/anime/13/64339.jpg
2827,Calimero,UNKNOWN,カリメロ,6.22,Comedy,"Calimero is a small black bird who has a shell on his head; his dream is to fly like the other birds. When he tries to fly and screws up he is teased by the other birds, but his girlfriend Pricilla is there to cheer him up. Despite his appearance, he is quite smart and thinks up an idea to fly.

(Source: ANN)",TV,45.0,"Oct 15, 1974 to Sep 30, 1975",fall 1974,Finished Airing,UNKNOWN,UNKNOWN,Toei Animation,Unknown,25 min per ep,G - All Ages,7784.0,8614,4,2016.0,4064,https://cdn.myanimelist.net/images/anime/6/3926.jpg
2828,Ie Naki Ko,Nobody's Boy Remi,家なき子,7.84,"Adventure, Drama, Slice of Life","Remi is a boy living happily with his mother in the French countryside. But everything changes when his estranged father comes home and, in desperate need of money, reveals that Remi is adopted, and sells him. Heartbroken, Remi ends up with Vitalis, a traveling musician, and his troupe of animal entertainers. Together, they travel the country in search for Remi's real parents, along the way learning the harsh lessons of life. A deeply moving story about friendship, loss and the pursuit of happiness. 

(Source: AniDB)",TV,51.0,"Oct 2, 1977 to Oct 1, 1978",fall 1977,Finished Airing,ImaginAsian Entertainment,UNKNOWN,"Madhouse, TMS Entertainment",Novel,24 min per ep,G - All Ages,848.0,5150,265,4703.0,14857,https://cdn.myanimelist.net/images/anime/9/76757.jpg
2829,Ie Naki Ko Remy,Sans Famille,家なき子レミ,7.89,"Adventure, Drama, Slice of Life","Remy, a cheerful and tender-hearted girl, lives with her mother in a French country town. One day her father returns to the town after a long period working away from home in a city. Her father tells Remy that she isn't their real daughter, and Remy is almost sold to an evil slave trader. It is Vitalis, a strolling entertainer, who helps Remy. Vitalis discovers her talent for singing and decides to take her in with his troupe.

(Source: ANN)",TV,23.0,"Sep 1, 1996 to Mar 23, 1997",fall 1996,Finished Airing,Fuji TV,UNKNOWN,Nippon Animation,Novel,23 min per ep,G - All Ages,749.0,4593,115,8463.0,19894,https://cdn.myanimelist.net/images/anime/12/26250.jpg
2830,Chibikko Remi to Meiken Kapi,UNKNOWN,ちびっ子レミと名犬カピ,5.81,"Adventure, Drama, Slice of Life","Based on Sans Famille by Hector Malot.

This is a faithful if compressed adaptation, telling the story of Remi who is sold off to Vitalis the travelling musician and his band of performing animals. It has musical numbers typical this era of Toei films, some awkward slapstic, plenty of scenes tailored to pull on the heartstrings, and very smooth animation. Overall a pleasant film that's interesting to watch for the technical aspects; but the story leaves much to be desired, being on the melodramatic-maudlin side. The later Dezaki/Sugino version is very different, with 52 episodes for the story to breathe in and far more compelling storytelling.

(Source: AniDB)",Movie,1.0,"Mar 17, 1970",UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,Toei Animation,Novel,1 hr 21 min,G - All Ages,9644.0,12559,1,290.0,1022,https://cdn.myanimelist.net/images/anime/11/28419.jpg
2831,Ie Naki Ko (Movie),UNKNOWN,家なき子,6.53,"Adventure, Slice of Life","Remi, an orphan kid gets hired out to a traveling street entertainer Vitalis when her foster parents fall on hard times.

(Source: IMDb)",Movie,1.0,"Mar 15, 1980",UNKNOWN,Finished Airing,Tokyo Movie Shinsha,UNKNOWN,TMS Entertainment,Unknown,1 hr 36 min,PG - Children,6197.0,11792,0,373.0,1328,https://cdn.myanimelist.net/images/anime/1135/135330.jpg
2832,Ani*Kuri15,UNKNOWN,アニ＊クリ15,6.7,"Adventure, Comedy, Drama, Fantasy, Sci-Fi, Slice of Life, Supernatural","15 one-minute shorts created by various people from Japan's animation industry. The title of the collection, Ani*Kuri15, is abbreviated from the words ""anime"" and ""creators"".

Season One
Shinji Kimura (Studio 4°C; Art Director, Steamboy) - title: Attack of Higashimachi Ni Chome/Attack of Higashimachi 2nd Burough
Shōjirō Nishimi (Studio 4°C; Character Designer, Tekkonkinkreet) - Uchujin Raikou Hiroshi no Baai/Invasion from Space - Hiroshi's Case
Akemi Hayashi (Gainax; Character Designer, Fruits Basket) - Namida no Mukou/From the Other Side of the Tears
Osamu Kobayashi (Madhouse; Art/Mecha Desgin, Gungrave) - Sancha Blues/The Aromatic Tea Blues
Yasufumi Soejima (Gonzo; 3D/CG Director, Last Exile) - Hyotoko/Blaze Man

Season Two
Atsushi Takeuchi (Production I.G; Mecha Design, Ghost in the Shell)
Mamoru Oshii (Production I.G; Director, Ghost in the Shell) - Project Mermaid
Kazuto Nakazawa (Studio 4°C; First Unit Director, Kill Bill Chapter 3: The Origin of O-Ren from Kill Bill: Volume 1) - ""yurururu"" ~Nichijou Hen~
Ranji Murata (Gonzo; Character Design, Blue Submarine No. 6) and Tatsuya Yabuta (Gonzo; Story Design, Final Fantasy VII) - Gyrosopter
Tobira Oda (Original Manga, Danchi Tomō) and Yasuyuki Shimizu (Key Animation, Naruto (movies)) (Studio 4°C)

Season Three
Michael Arias (Studio 4°C; Director, Tekkonkinkreet) - Okkakekko
Makoto Shinkai (Comix Wave Film; Director, The Place Promised in Our Early Days) - Neko no Shuukai/A Gathering of Cats
Shōji Kawamori (Satelight; Director, The Super Dimension Fortress Macross: Do You Remember Love?) - Project Omega
Mahiro Maeda (Gonzo; Director, Gankutsuou: The Count of Monte Cristo) - Onmitsu Hime
Satoshi Kon (Madhouse; Director, Paprika) - Ohayō/Good Morning",Special,15.0,"May 7, 2007 to Dec 10, 2007",UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,"Gonzo, Gainax, Production I.G, Madhouse, Studio 4°C, Satelight, CoMix Wave Films",Original,1 min per ep,PG-13 - Teens 13 or older,5338.0,4330,10,10614.0,22637,https://cdn.myanimelist.net/images/anime/13/62923.jpg
2833,Gulliver no Uchuu Ryokou,UNKNOWN,ガリバーの宇宙旅行,5.73,"Adventure, Sci-Fi","Ted meets the aged professor Gulliver in a deep, dark forest. Accompanied by Mack the dog, a toy soldier called The General, and the Crow, the two set off on a journey to the Planet of Blue Hope in their spaceship the Gulliver.

(Source: AniDB)",Movie,1.0,"Mar 20, 1965",UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,Toei Animation,Unknown,1 hr 20 min,G - All Ages,9954.0,11328,1,614.0,1568,https://cdn.myanimelist.net/images/anime/13/45358.jpg
2834,Miracle☆Girls,UNKNOWN,ミラクル☆ガールズ,7.33,Drama,"Mikage and Tomomi Matsunaga are Miracle Girls: they have a telepathic link with each other and can teleport when they link their little fingers. Tomomi is a sports star and has a boyfriend called Noda. Mikage is the smartest student in the school and is in love with her sempai. He moved to London to study but they still kept in touch, that is until a selfish princess called Marie decides that he should come with her back to Diammas. Back in Japan the twins are having various problems of their own. But they soon realise that there is a link between Marie, an ancient legend, and a girl they know called Emma.

(Source: ANN)",TV,51.0,"Jan 8, 1993 to Dec 24, 1993",winter 1993,Finished Airing,Asatsu DK,UNKNOWN,Japan Taps,Manga,24 min per ep,G - All Ages,2364.0,7920,14,1471.0,5142,https://cdn.myanimelist.net/images/anime/11/21213.jpg
2835,Patalliro!,UNKNOWN,パタリロ！,7.21,"Adventure, Boys Love, Comedy","Patarillo! is set in a society much like ours in most ways, with one decided twist. The manga on which it is based is one of the much-read works produced for adolescent Japanese girls that features a healthy proportion of gay men and beautiful teenagers aka bishounen (beautiful boys). Most of the action takes place in Marinera, the land of eternal spring, located somewhere in the South Seas. The country is a major producer of diamonds; they provide much of the basis of conflict in the anime series. They come from one of the most prolific mines in the world, owned by the king of Marinera, the vertically challenged but horizontally endowed boy-king Patarillo himself. The International Diamond Syndicate - a huge semi- criminal organization/ secret society dedicated to taking over the world's entire diamond supply- wants that mine and will stop at nothing to get it. In the early episodes they send off a number of bishounen assassins to do in Patarillo, which necessitates his having a bodyguard, the English MI6 agent, Major Jack ('Bishounen-Killer') Bancoran. Bancoran's nickname doesn't mean he shoots bishounen in cold blood. The soubriquet comes from the fact that no male under the age of 17 can resist his sexual fascination. This, to Bancoran's eternal disgust, includes Patarillo himself. The action switches often from Marinera to MI6 headquarters in London (London seems to be an easy two hour's flight from the South Seas) or Bancoran's palatial condo in the suburbs of same. (MI6, be it noted, looks a lot like Fritz Lang's Metropolis, while Jack's 'apartment' bears a passing resemblance to Randolph Hearst's spread.) The action also goes into the past and future and out into space. Patarillo evidently gets around.

(Source: aestheticism.com)",TV,49.0,"Apr 8, 1982 to May 13, 1983",spring 1982,Finished Airing,UNKNOWN,UNKNOWN,Toei Animation,Manga,24 min per ep,PG-13 - Teens 13 or older,2964.0,6695,107,1438.0,7813,https://cdn.myanimelist.net/images/anime/2/56443.jpg
2836,Chiisana Viking Vickie,UNKNOWN,小さなバイキングビッケ,6.62,"Adventure, Comedy","Long ago, in a little Viking Village called Flake, young Wickie lives a happy life. His father, Halvar, is the chief of the Vikings, and would have liked a son a little more courageous. So, he and his team take Wicke along on their journeys to give him the experience he'll need to be a real Viking. Yet, somehow Halvar and his men end up trapped or hopelessly stuck somewhere in most cases, and it`s up to Wickie alone to help them out with his flashes of wit.

(Source: IMDb)",TV,78.0,"Apr 3, 1974 to Sep 24, 1975",spring 1974,Finished Airing,Mushi Production,UNKNOWN,Nippon Animation,Unknown,24 min per ep,G - All Ages,5725.0,8976,7,1733.0,3547,https://cdn.myanimelist.net/images/anime/11/3940.jpg
